,Average price of S&P 1-Jan,,,,,,,,,,
S&P 500 List,Start Date,price,,,,,,,,,
UN UN Equity,12/2/91,8.7033,,,,,,,,,
1005945D US Equity,12/2/91,19.875,,,,,,,,,
162007Q UN Equity,12/2/91,35.625,,,,,,,,,
RDPL UN Equity,12/2/91,19.8125,,,,,,,,,
BGG UN Equity,12/2/91,9.695,,,,,,,,,
AEP UN Equity,12/2/91,32.5,,,,,,,,,
SKY UN Equity,12/2/91,14.875,,,,,,,,,
GOSHA UQ Equity,12/2/91,15.375,,,,,,,,,
HSY UN Equity,12/2/91,9.4375,,,,,,,,,
2746Q UN Equity,12/2/91,20.375,,,,,,,,,
NC UN Equity,12/2/91,2.9108,,,,,,,,,
SO UN Equity,12/2/91,9.6684,,,,,,,,,
NMK UN Equity,12/2/91,17.5,,,,,,,,,
WLB US Equity,12/2/91,18,,,,,,,,,
0961514D UN Equity,12/2/91,25.25,,,,,,,,,
XEL UN Equity,12/2/91,20.8125,,,,,,,,,
2056Q UN Equity,12/2/91,6.25,,,,,,,,,
WMT UN Equity,12/2/91,12.4375,,,,,,,,,
IR UN Equity,12/2/91,5.8866,,,,,,,,,
OKE UN Equity,12/2/91,3.365,,,,,,,,,
AVATQ US Equity,12/2/91,14.2829,,,,,,,,,
FJCC US Equity,12/2/91,3.8,,,,,,,,,
1708Q US Equity,#N/A N/A,,,,,,,,,,
968734Q UN Equity,12/2/91,15.75,,,,,,,,,
1013207D UN Equity,12/2/91,5.2852,,,,,,,,,
210811Q UN Equity,12/2/91,5.6747,,,,,,,,,
KBH UN Equity,12/2/91,6.9375,,,,,,,,,
HBJ UN Equity,#N/A N/A,,,,,,,,,,
LPX UN Equity,12/2/91,12.8333,,,,,,,,,
AA UN Equity,12/2/91,16.1668,,,,,,,,,
AXP UN Equity,12/2/91,4.9201,,,,,,,,,
VZ UN Equity,12/2/91,20.3358,,,,,,,,,
NRTLQ UN Equity,12/2/91,55.1563,,,,,,,,,
BA UN Equity,12/2/91,22.438,,,,,,,,,
CAT UN Equity,12/2/91,5.4531,,,,,,,,,
JPM UN Equity,12/2/91,7.2917,,,,,,,,,
CVX UN Equity,12/2/91,16.9688,,,,,,,,,
KO UN Equity,12/2/91,8.9844,,,,,,,,,
DIS UN Equity,12/2/91,8.8084,,,,,,,,,
DD UN Equity,12/2/91,21.5522,,,,,,,,,
XOM UN Equity,12/2/91,14.875,,,,,,,,,
GE UN Equity,12/2/91,5.4792,,,,,,,,,
HPQ UN Equity,12/2/91,2.1701,,,,,,,,,
HD UN Equity,12/2/91,6.847,,,,,,,,,
IBM UN Equity,12/2/91,23.0625,,,,,,,,,
JNJ UN Equity,12/2/91,12.344,,,,,,,,,
MCD UN Equity,12/2/91,8.563,,,,,,,,,
MRK UN Equity,12/2/91,23.3657,,,,,,,,,
MMM UN Equity,12/2/91,20.99,,,,,,,,,
BAC UN Equity,12/2/91,8.75,,,,,,,,,
PFE UN Equity,12/2/91,5.6979,,,,,,,,,
PG UN Equity,12/2/91,10.2969,,,,,,,,,
T UN Equity,12/2/91,14.5,,,,,,,,,
UTX UN Equity,12/2/91,5.813,,,,,,,,,
TKR UN Equity,12/2/91,8.859,,,,,,,,,
MTLQQ UN Equity,12/2/91,24.4913,,,,,,,,,
C UN Equity,12/2/91,25.481,,,,,,,,,
AIG UN Equity,12/2/91,153.339,,,,,,,,,
PCH UN Equity,12/2/91,28.8401,,,,,,,,,
HON UN Equity,12/2/91,9.7566,,,,,,,,,
MO UN Equity,12/2/91,5.3139,,,,,,,,,
739306Q US Equity,12/2/91,14.9343,,,,,,,,,
INTC UQ Equity,12/2/91,1.3086,,,,,,,,,
EKDKQ UN Equity,12/2/91,37.5,,,,,,,,,
IP UN Equity,12/2/91,34.0119,,,,,,,,,
3277Q US Equity,12/2/91,61.25,,,,,,,,,
ABT UN Equity,12/2/91,6.6991,,,,,,,,,
AMD UN Equity,12/2/91,7.1875,,,,,,,,,
APD UN Equity,12/2/91,15.4855,,,,,,,,,
BEAM UN Equity,12/2/91,18.5534,,,,,,,,,
HES UN Equity,12/2/91,15.875,,,,,,,,,
304024Q US Equity,12/2/91,28.125,,,,,,,,,
ADM UN Equity,12/2/91,11.4086,,,,,,,,,
CCK UN Equity,12/2/91,28.375,,,,,,,,,
AVY UN Equity,12/2/91,11,,,,,,,,,
AVP UN Equity,12/2/91,4.8281,,,,,,,,,
BHI UN Equity,12/2/91,18.375,,,,,,,,,
BLL UN Equity,12/2/91,2.0703,,,,,,,,,
CEG UN Equity,12/2/91,22.3333,,,,,,,,,
BCR UN Equity,12/2/91,14.0625,,,,,,,,,
BAX UN Equity,12/2/91,8.7264,,,,,,,,,
BDX UN Equity,12/2/91,7.438,,,,,,,,,
MKG US Equity,12/2/91,34,,,,,,,,,
BMS UN Equity,12/2/91,9.625,,,,,,,,,
HRB UN Equity,12/2/91,8.6875,,,,,,,,,
GAPTQ UN Equity,12/2/91,26.375,,,,,,,,,
BMY UN Equity,12/2/91,19.1248,,,,,,,,,
RAD UN Equity,12/2/91,9.25,,,,,,,,,
CPB UN Equity,12/2/91,18.7825,,,,,,,,,
9876566D UN Equity,12/2/91,16.7188,,,,,,,,,
CI UN Equity,12/2/91,6.042,,,,,,,,,
MZIAQ UN Equity,12/2/91,67.1213,,,,,,,,,
CLX UN Equity,12/2/91,9.406,,,,,,,,,
CL UN Equity,12/2/91,5.3906,,,,,,,,,
2731112Q US Equity,12/2/91,17.375,,,,,,,,,
CSC UN Equity,12/2/91,6.174,,,,,,,,,
CAG UN Equity,#N/A N/A,,,,,,,,,,
JOSEA US Equity,12/2/91,30.5,,,,,,,,,
ED UN Equity,12/2/91,26.375,,,,,,,,,
CBE UN Equity,12/2/91,24.774,,,,,,,,,
GLW UN Equity,12/2/91,10.71,,,,,,,,,
CSX UN Equity,12/2/91,4.1667,,,,,,,,,
PBY UN Equity,12/2/91,17.125,,,,,,,,,
CMI UN Equity,12/2/91,6.016,,,,,,,,,
SCI UN Equity,12/2/91,7.9583,,,,,,,,,
TGT UN Equity,12/2/91,4.9167,,,,,,,,,
