,Average price of S&P 1-Jan,
S&P 500 List,Start Date,price
EIX UN Equity,12/3/01,14.61
KRB UN Equity,12/3/01,20.9867
CMI UN Equity,12/3/01,9.02
2987536Q UN Equity,12/3/01,16.29
WBA UN Equity,12/3/01,33.05
XEL UN Equity,12/3/01,27.5
AYE UN Equity,12/3/01,34.86
KG UN Equity,12/3/01,40.55
AA UN Equity,12/3/01,84.7672
AXP UN Equity,12/3/01,28.1337
VZ UN Equity,12/3/01,42.5495
BA UN Equity,12/3/01,35
CAT UN Equity,12/3/01,23.705
JPM UN Equity,12/3/01,36.55
CVX UN Equity,12/3/01,43.225
KO UN Equity,12/3/01,23.265
DIS UN Equity,12/3/01,19.7045
DD UN Equity,12/3/01,41.2473
XOM UN Equity,12/3/01,37.66
GE UN Equity,12/3/01,36.92
HPQ UN Equity,12/3/01,9.7566
HD UN Equity,12/3/01,46.39
IBM UN Equity,12/3/01,114.13
JNJ UN Equity,12/3/01,58.31
MCD UN Equity,12/3/01,26.72
MRK UN Equity,12/3/01,64.8323
MMM UN Equity,12/3/01,56.935
BAC UN Equity,12/3/01,30.715
PFE UN Equity,12/3/01,43.69
PG UN Equity,12/3/01,38.15
T UN Equity,12/3/01,38.07
TRV UN Equity,12/3/01,46.1
UTX UN Equity,12/3/01,29.455
WMT UN Equity,12/3/01,54.58
MTLQQ UN Equity,12/3/01,49.03
C UN Equity,12/3/01,436.3173
AIG UN Equity,12/3/01,1369.657
HON UN Equity,12/3/01,32.8122
MO UN Equity,12/3/01,10.9087
INTC UQ Equity,12/3/01,32.04
MSFT UQ Equity,12/3/01,32.385
EKDKQ UN Equity,12/3/01,30.48
IP UN Equity,12/3/01,39.02
ABT UN Equity,12/3/01,24.8205
AMD UN Equity,12/3/01,14.05
AFL UN Equity,12/3/01,26.99
APD UN Equity,12/3/01,42.1574
1284849D UN Equity,12/3/01,36.2474
BEAM UN Equity,12/3/01,28.3787
AEP UN Equity,12/3/01,41.5
HES UN Equity,12/3/01,19.4667
APC UN Equity,12/3/01,26.4
ADI UN Equity,12/3/01,41.96
AON UN Equity,12/3/01,35
APA UN Equity,12/3/01,20.3723
ADM UN Equity,12/3/01,15.46
AZO UN Equity,12/3/01,66.27
AVY UN Equity,12/3/01,54.26
AVP UN Equity,12/3/01,23.975
BHI UN Equity,12/3/01,34.05
BLL UN Equity,12/3/01,4.1625
CEG UN Equity,12/3/01,23.19
BK UN Equity,12/3/01,40.4918
BCR UN Equity,12/3/01,31.2
BAX UN Equity,12/3/01,27.9669
BDX UN Equity,12/3/01,33.98
BMS UN Equity,12/3/01,24.995
BBY UN Equity,12/3/01,32.2444
HRB UN Equity,12/3/01,20.165
BSX UN Equity,12/3/01,13.415
BMY UN Equity,12/3/01,53.97
BF/B UN Equity,12/3/01,8.0333
CPB UN Equity,12/3/01,29.46
CCL UN Equity,12/3/01,26.24
CTL UN Equity,12/3/01,34.2
9876566D UN Equity,12/3/01,34.455
CI UN Equity,12/3/01,30.383
CLX UN Equity,12/3/01,39.61
CMS UN Equity,12/3/01,22.77
CCE UN Equity,12/3/01,17.02
CL UN Equity,12/3/01,29.05
CMA UN Equity,12/3/01,50.65
CSC UN Equity,12/3/01,27.4469
CAG UN Equity,12/3/01,18.0142
ED UN Equity,12/3/01,38.46
BIG UN Equity,12/3/01,9.47
CBE UN Equity,12/3/01,20.375
GLW UN Equity,12/3/01,8.95
CSX UN Equity,12/3/01,6.1083
DHR UN Equity,12/3/01,10.8496
TGT UN Equity,12/3/01,37.16
DE UN Equity,12/3/01,20.15
D UN Equity,12/3/01,29.04
DOV UN Equity,12/3/01,30.4273
DOW UN Equity,12/3/01,36.97
DUK UN Equity,12/3/01,62.651
ETN UN Equity,12/3/01,17.3175
ECL UN Equity,12/3/01,18.165
PKI UN Equity,12/3/01,27.05
EP UN Equity,12/3/01,42.24
EMC UN Equity,12/3/01,16.16
EMR UN Equity,12/3/01,27.005
EOG UN Equity,12/3/01,9.005
ETR UN Equity,12/3/01,37.3
EFX UN Equity,12/3/01,24.59
XL UN Equity,12/3/01,93.25
FDO UN Equity,12/3/01,29.04
FDX UN Equity,12/3/01,45.45
M UN Equity,12/3/01,18.2
F UN Equity,12/3/01,17.8
NEE UN Equity,12/3/01,27.61
BEN UN Equity,12/3/01,11.7333
FCX UN Equity,12/3/01,6.66
TGNA UN Equity,12/3/01,35.2423
GPS UN Equity,12/3/01,13.2
GD UN Equity,12/3/01,40.985
GIS UN Equity,12/3/01,25.185
GPC UN Equity,12/3/01,33.65
GR UN Equity,12/3/01,23.2031
GT UN Equity,12/3/01,22.09
GWW UN Equity,12/3/01,46.32
HAL UN Equity,12/3/01,11.03
HOG UN Equity,12/3/01,50.98
HNZ UN Equity,12/3/01,35.0916
HSY UN Equity,12/3/01,32.95
HOT UN Equity,12/3/01,20.3868
CNP UN Equity,12/3/01,20.4905
HUM UN Equity,12/3/01,12.53
ITW UN Equity,12/3/01,30.57
IR UN Equity,12/3/01,16.5983
IPG UN Equity,12/3/01,28.49
IFF UN Equity,12/3/01,30.19
9876544D UN Equity,12/3/01,15.3775
1436513D UN Equity,12/3/01,12.94
K UN Equity,12/3/01,29.31
KMB UN Equity,12/3/01,54.0883
KSS UN Equity,12/3/01,66.4
KR UN Equity,12/3/01,12.685
LEG UN Equity,12/3/01,21.61
LLY UN Equity,12/3/01,83.6
653707Q UN Equity,12/3/01,35.7578
CAR UN Equity,12/3/01,21.5158
LB UN Equity,12/3/01,13.77
LNC UN Equity,12/3/01,47.41
0202445Q UN Equity,12/3/01,52.6218
L UN Equity,12/3/01,18.9667
